"Symbol","Description","Category2","GICS Sector","Market cap","Market Cap Weight","Index Weight","Dividend yield","Country","Action"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Consumer Staples","$35,495,020,657","0.32%","0.00%","4.58%","USA","Analyze"
"V","Visa Inc Class A","Common stocks","Information Technology","$476,989,680,000","4.34%","0.00%","0.69%","USA","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Information Technology","$190,104,700,000","1.73%","0.00%","0.00%","USA","Analyze"
"CVX","Chevron Corp","Common stocks","Energy","$308,102,398,035","2.80%","0.00%","3.52%","USA","Analyze"
"PG","Procter & Gamble","Common stocks","Consumer Staples","$354,992,124,858","3.23%","0.00%","2.38%","USA","Analyze"
"VZ","Verizon Communications Inc","Common stocks","Communication Services","$191,339,000,639","1.74%","0.00%","6.87%","USA","Analyze"
"WMT","Walmart Stores Inc","Common stocks","Consumer Staples","$363,476,496,630","3.31%","0.00%","1.67%","USA","Analyze"
"UNH","Unitedhealth Group Inc","Common stocks","Health Care","$509,446,839,174","4.64%","0.00%","1.10%","USA","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Financials","$40,855,826,567","0.37%","0.00%","2.06%","USA","Analyze"
"MCD","Mcdonalds Corp","Common stocks","Consumer Discretionary","$195,288,792,414","1.78%","0.00%","2.03%","USA","Analyze"
"MMM","3M","Common stocks","Industrials","$86,255,122,817","0.79%","0.00%","3.92%","USA","Analyze"
"NKE","Nike Inc Class B","Common stocks","Consumer Discretionary","$182,602,627,461","1.66%","0.00%","1.02%","USA","Analyze"
"MRK","Merck & Co Inc","Common stocks","Health Care","$229,515,153,957","2.09%","0.00%","2.96%","USA","Analyze"
"MSFT","Microsoft Corp","Common stocks","Information Technology","$2,188,667,527,676","19.92%","0.00%","0.82%","USA","Analyze"
"JPM","JP Morgan Chase & Co","Common stocks","Financials","$359,122,814,879","3.27%","0.00%","3.25%","USA","Analyze"
"KO","Coca-Cola","Common stocks","Consumer Staples","$278,938,581,723","2.54%","0.00%","2.64%","USA","Analyze"
"JNJ","Johnson & Johnson","Common stocks","Health Care","$436,680,488,761","3.98%","0.00%","2.57%","USA","Analyze"
"GS","Goldman Sachs Group Inc","Common stocks","Financials","$121,471,507,691","1.11%","0.00%","2.24%","USA","Analyze"
"HD","Home Depot Inc","Common stocks","Consumer Discretionary","$323,341,983,561","2.94%","0.00%","2.24%","USA","Analyze"
"HON","Honeywell International Inc","Common stocks","Industrials","$136,254,271,113","1.24%","0.00%","1.92%","USA","Analyze"
"IBM","International Business Machines Co","Common stocks","Information Technology","$121,866,125,030","1.11%","0.00%","4.79%","USA","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Information Technology","$149,212,040,000","1.36%","0.00%","3.92%","USA","Analyze"
"DIS","Walt Disney","Common stocks","Communication Services","$226,533,159,370","2.06%","0.00%","0.00%","USA","Analyze"
"CAT","Caterpillar Inc","Common stocks","Industrials","$103,443,796,571","0.94%","0.00%","2.29%","USA","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Information Technology","$192,927,514,484","1.76%","0.00%","3.20%","USA","Analyze"
"AXP","American Express","Common stocks","Financials","$124,008,284,301","1.13%","0.00%","1.14%","USA","Analyze"
"BA","Boeing","Common stocks","Industrials","$101,226,989,979","0.92%","0.00%","0.00%","USA","Analyze"
"AMGN","Amgen Inc","Common stocks","Health Care","$134,310,437,818","1.22%","0.00%","2.23%","USA","Analyze"
"AAPL","Apple Inc","Common stocks","Information Technology","$2,783,293,538,880","25.34%","0.00%","0.52%","USA","Analyze"
"DOW","Dow Inc.","Common stocks","Materials","$39,743,388,177","0.36%","0.00%","4.98%","USA","Analyze"
